country	urban	gdp	lifeexpm	lifeexpf	birthrate	deathrate	develop	radio	hospbed	docs
Iraq	70	1950	62	64	45	8	1	20.00	17.06	5.20
Israel	89	12500	76	79	21	6	0	45.45	62.11	28.99
Jordan	68	1012	70	73	47	5	1	22.22	19.92	12.30
Kuwait	95	6200	72	76	32	2	1	55.56	29.76	14.39
Lebanon	84	1400	66	71	28	7	1	76.92	38.02	12.97
Saudi_Arabia	78	5800	65	68	38	7	1	30.30	24.63	11.74
Syria	50	2300	65	67	44	7	1	24.39	11.90	7.42
Turkey	61	3400	68	72	28	6	1	12.82	21.51	9.03
United_Arab_Emirate	81	12100	70	74	20	3	1	21.28	22.62	9.46
Yemen	29	545	49	51	51	16	1	2.86	10.05	1.81
Bulgaria	67	5300	69	76	13	12	0	20.83	97.09	29.67
Hungary	62	5700	66	75	12	14	0	58.82	101.01	32.68
Poland	62	4300	68	76	14	9	0	27.78	64.94	21.23
Romania	55	3100	68	74	14	10	0	13.70	93.46	21.19
Denmark	86	17700	72	78	12	11	0	41.67	56.50	27.78
Finland	61	16200	72	80	12	10	0	100.00	135.14	19.88
Ireland	57	11200	72	78	15	9	0	58.82	38.91	14.68
Norway	75	17100	74	81	14	11	0	76.92	59.52	32.36
Sweden	85	17200	75	81	13	11	0	83.33	67.57	31.25
United_Kingdom	90	15900	73	79	14	11	0	100.00	72.46	16.37
Albania	35	1300	72	79	23	5	0	16.67	56.82	17.42
Greece	63	7730	75	80	11	9	0	41.67	51.81	30.58
Italy	67	16700	74	81	11	10	0	29.41	74.07	42.92
Portugal	34	8400	71	78	12	10	0	23.81	43.48	28.41
Spain	79	12400	75	82	11	8	0	29.41	50.51	36.36
Austria	54	20895	74	81	12	11	0	62.50	99.01	29.94
Belgium	96	17300	73	80	10	10	0	45.45	92.59	31.55
France	74	18300	74	82	13	9	0	90.91	125.00	26.74
Netherlands	88	16600	75	81	13	9	0	83.33	60.98	24.15
Switzerland	60	21700	76	83	12	10	0	38.46	99.01	31.55
Australia	85	18054	74	80	15	8	0	50.00	50.25	22.83
New_Zealand	76	14000	72	80	15	8	0	90.91	90.09	27.86
Papua_New_Guinea	15	800	55	56	34	11	1	6.67	45.05	.84
